Day	Stage	CIgreen	GNDVI	NAVI	NDVI	RENDVI	TGI	Thermal
4/11/19	fallow	0.820684667	0.288620977	0.31693875	0.188918105	0.08599031	0.682687846	23.39963382
5/21/19	VEG	0.744267225	0.269478748	0.222870444	0.126608637	0.072647999	0.527809393	27.77260218
6/13/19	VEG	0.811611499	0.281092602	0.417473003	0.271852341	0.10188426	3.68750717	26.859
6/29/19	VEG	4.784165883	0.16408341	0.905124077	0.080862356	0.454172375	3.857821393	28.2676
7/11/19	REP_R0	9.821222449	0.816359906	0.960641955	0.935103811	0.60761467	2.499478962	31.50619981
8/1/19	REP_R2	8.983663389	0.805189506	0.961991601	0.92936341	0.598386877	3.262684724	28.82548608
8/13/19	REP_R4	7.387344644	0.773426374	0.945445887	0.897893001	0.538397978	3.370471234	34.90396665
8/21/19	GF	4.74113495	0.697793452	0.915426538	0.845405651	0.415732548	4.465542169	32.45050619
8/28/19	GF	3.98844256	0.655739859	0.89275453	0.808257726	0.355286209	4.914995316	28.12309192
9/7/19	GF	2.433112873	0.540425181	0.769331545	0.630128769	0.224633769	4.973012183	29.31019904
9/13/19	GF	1.768447084	0.465060493	0.697614814	0.540772255	0.168062864	5.678233894	34.02165669
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
